timestamp,open,high,low,close,volume
2017-08-27,303.91,303.91,303.91,303.91,10
2017-08-31,303.91,309.63,309.63,309.63,100
2017-10-08,315.53,321.42,315.53,321.42,110
2017-10-29,327.5,327.5,327.5,327.5,10
2017-11-05,333.75,340.01,333.75,340.01,30
2017-11-06,340.01,366.63,346.44,366.63,40
2017-11-08,373.59,380.74,373.59,380.74,20
2017-11-19,380.83,388.07,388.07,388.07,10
2017-12-06,395.3,402.81,395.3,402.81,20
2017-12-10,410.58,418.35,410.58,418.35,20
2017-12-11,426.39,434.43,426.39,434.43,20
2017-12-12,442.74,451.32,442.74,451.32,20
2017-12-13,459.89,477.58,459.89,477.58,30
2017-12-14,486.69,486.69,486.69,486.69,10
2017-12-17,505.72,525.28,505.72,525.28,30
2017-12-18,550.74,550.74,550.74,550.74,10
2017-12-20,561.46,572.18,561.46,572.18,120
2017-12-21,583.17,605.95,583.17,605.95,35
2017-12-24,635.43,660.36,635.43,660.36,30
2017-12-26,673.22,724.95,673.22,724.95,60
2017-12-27,739.15,795.97,739.15,795.97,170
2017-12-28,811.51,874.22,811.51,874.22,880
2017-12-31,891.38,908.8,840.45,857.61,5336
2018-01-01,845.01,860.29,845.01,857.61,2071
2018-01-02,844.21,845.55,828.13,841.53,1540
2018-01-03,827.59,843.67,817.94,822.77,955
2018-01-04,822.77,822.77,810.17,812.58,520
2018-01-07,799.99,830.81,799.99,813.39,360
2018-01-08,817.14,829.2,816.87,818.75,591
2018-01-09,818.75,818.48,809.63,814.73,250
2018-01-10,805.35,808.03,804.27,804.27,270
2018-01-14,791.14,812.05,777.74,795.97,500
2018-01-16,791.95,817.41,790.61,817.41,370
2018-01-17,817.41,817.41,798.65,801.86,243
2018-01-21,804.01,804.01,791.14,791.95,260
2018-01-22,791.95,791.95,783.91,787.93,130
2018-01-23,785.25,790.34,775.87,777.47,320
2018-01-24,792.48,792.48,771.85,773.45,270
2018-01-25,773.45,787.93,772.92,785.25,190
2018-01-28,773.72,779.89,773.72,775.6,220
2018-01-29,775.33,777.21,772.11,776.94,120
2018-01-31,777.21,782.57,777.21,782.57,100
2018-02-01,790.61,790.61,776.67,776.67,50
2018-02-04,791.68,801.33,781.23,790.61,280
2018-02-05,777.21,783.91,777.21,779.89,50
2018-02-06,776.13,778.81,776.13,778.81,50
2018-02-07,778.81,785.25,771.85,774.53,299
2018-02-08,771.85,786.85,766.75,774.79,99
2018-02-11,763.81,768.63,763.81,768.63,50
2018-02-12,769.17,771.85,769.17,769.43,150
2018-02-14,774.53,777.21,761.13,777.21,170
2018-02-15,789.8,805.08,767.83,805.08,262
2018-02-18,805.08,819.82,788.73,789.27,120
2018-02-20,804.54,804.54,776.4,776.4,60
2018-02-21,771.85,774.53,763.81,763.81,90
2018-02-22,759.79,777.21,758.71,777.21,280
2018-02-25,766.49,766.49,759.52,760.05,220
2018-02-26,747.73,747.73,745.31,746.92,270
2018-02-27,745.05,755.77,745.05,755.77,160
2018-02-28,741.29,741.29,732.45,737.01,130
2018-03-04,724.14,724.41,683.14,686.09,479
2018-03-06,643.21,679.39,643.21,679.39,160
2018-03-07,666.25,689.84,666.25,683.41,270
2018-03-11,683.41,678.05,664.91,664.91,50
2018-03-12,664.91,656.61,643.74,643.74,380
2018-03-14,656.34,658.75,646.15,658.75,50
2018-03-15,656.61,671.35,656.61,669.74,260
2018-03-18,667.33,667.33,656.87,657.95,80
2018-03-19,648.57,656.61,648.57,656.61,190
2018-03-20,644.55,646.15,644.55,646.15,70
2018-03-21,636.51,646.96,622.03,629.81,210
2018-03-22,642.13,642.13,605.42,605.42,461
2018-03-26,593.62,593.62,546.46,546.46,220
2018-03-27,546.46,546.46,515.37,540.02,220
2018-03-28,550.48,561.2,544.31,549.4,190
2018-03-29,560.12,573.79,551.82,573.79,174
2018-04-01,584.78,584.78,562.0,562.0,50
2018-04-02,551.55,556.1,551.28,556.1,50
2018-04-03,556.1,561.46,550.74,550.74,60
2018-04-04,550.74,572.18,550.21,572.18,170
2018-04-05,572.45,581.56,572.18,581.56,630
2018-04-08,582.9,638.38,582.9,638.38,895
2018-04-09,649.91,661.97,643.21,653.66,300
2018-04-10,641.06,641.06,627.39,629.81,300
2018-04-11,642.13,642.13,640.53,640.53,150
2018-04-12,629.81,665.18,629.81,656.87,350
2018-04-15,656.87,652.59,644.28,652.59,40
2018-04-16,661.43,687.96,661.43,683.41,1010
2018-04-17,683.41,723.61,696.81,723.61,410
2018-04-18,737.81,737.81,703.77,703.77,592
2018-04-19,717.44,737.01,715.57,737.01,510
2018-04-22,737.01,774.53,742.37,774.53,801
2018-04-23,789.53,789.53,774.26,787.93,180
2018-04-24,777.21,777.21,728.43,774.53,1016
2018-04-25,759.52,759.52,734.33,737.01,626
2018-04-26,737.01,751.48,712.62,712.62,780
2018-04-29,710.21,737.01,709.67,732.72,495
2018-05-02,732.72,746.39,718.78,746.39,480
2018-05-03,746.39,750.14,737.01,749.07,315
2018-05-06,734.59,777.21,734.59,777.21,220
2018-05-07,790.34,790.34,731.91,754.16,2331
2018-05-08,753.09,761.66,726.29,737.01,2275
2018-05-09,761.13,769.17,731.91,750.14,1115
2018-05-10,750.14,753.09,737.01,745.05,1605
2018-05-14,739.69,744.78,731.38,738.35,2285
2018-05-15,737.01,737.01,733.79,734.59,400
2018-05-16,734.33,755.77,734.33,755.77,320
2018-05-17,745.05,745.05,732.99,737.01,449
2018-05-20,751.48,763.81,747.46,759.52,1270
2018-05-21,750.41,767.83,747.73,767.83,893
2018-05-22,767.83,792.48,758.45,790.61,1865
2018-05-23,780.42,817.41,775.87,804.01,1368
2018-05-24,801.33,816.87,774.53,777.74,1565
2018-05-27,763.81,773.19,753.89,753.89,550
2018-05-28,753.89,789.53,764.07,779.89,2110
2018-05-29,791.68,795.16,774.53,778.01,1381
2018-05-30,783.91,803.74,772.65,773.19,1010
2018-05-31,786.59,787.66,774.79,777.21,1876
2018-06-03,761.93,782.57,752.01,758.45,1758
2018-06-04,751.75,763.81,726.29,737.01,1110
2018-06-06,751.48,766.49,751.48,753.09,420
2018-06-07,747.73,747.99,734.33,738.35,640
2018-06-10,726.29,726.55,712.89,716.91,540
2018-06-11,707.53,738.35,707.53,726.29,830
2018-06-12,722.27,750.41,718.51,735.67,475
2018-06-13,735.67,745.85,730.31,745.85,615
2018-06-14,745.85,754.96,731.38,745.05,540
2018-06-17,737.01,750.41,727.63,741.83,320
2018-06-18,737.01,755.77,731.65,740.22,1200
2018-06-19,753.09,753.09,737.01,742.37,725
2018-06-20,739.69,741.03,732.18,741.03,225
2018-06-21,743.71,743.71,731.65,731.91,250
2018-06-24,723.61,737.81,723.61,731.65,280
2018-06-25,731.65,731.65,717.44,722.27,605
2018-06-26,722.27,722.27,694.66,715.57,280
2018-06-27,710.21,714.23,704.85,692.52,655
2018-06-28,710.21,712.89,700.02,699.49,380
2018-07-01,696.81,696.81,695.47,695.47,105
2018-07-02,710.21,715.57,708.06,708.87,215
2018-07-03,694.13,704.04,694.13,694.39,235
2018-07-04,694.13,714.49,689.57,710.21,425
2018-07-05,703.51,742.37,703.51,731.65,690
2018-07-08,745.58,745.58,723.34,723.61,390
2018-07-09,710.21,720.93,707.53,708.87,295
2018-07-10,718.25,720.66,706.72,707.53,220
2018-07-11,721.19,737.01,721.19,732.99,510
2018-07-12,751.48,751.48,710.21,710.21,295
2018-07-15,710.21,719.59,702.7,708.87,185
2018-07-16,708.87,713.15,708.87,712.89,225
2018-07-17,699.49,706.19,691.18,706.19,495
2018-07-18,698.95,718.25,696.81,710.21,435
2018-07-19,702.17,709.94,702.17,709.94,135
2018-07-22,702.17,702.17,696.81,697.07,246
2018-07-23,687.43,710.47,687.43,710.21,175
2018-07-24,712.89,723.61,710.21,710.21,220
2018-07-25,702.43,708.87,702.43,708.87,65
2018-07-26,700.02,700.02,696.81,697.61,194
2018-07-29,697.07,710.21,697.07,710.21,40
2018-07-30,704.85,715.83,702.17,707.53,490
2018-07-31,707.53,707.53,704.85,707.53,290
2018-08-01,707.53,715.57,707.53,708.87,350
2018-08-02,710.21,715.57,708.06,708.87,215
2018-08-05,710.21,710.21,676.71,683.14,3050
2018-08-06,674.03,678.85,674.03,675.9,487
2018-08-07,672.69,676.71,670.54,671.35,862
2018-08-08,661.97,665.99,661.97,664.65,598
2018-08-09,659.02,661.97,655.27,655.27,430
2018-08-12,643.21,643.21,626.05,629.81,445
2018-08-13,619.35,639.19,617.74,639.19,220
2018-08-14,630.07,647.23,629.81,640.53,195
2018-08-15,651.25,668.67,647.23,668.67,450
2018-08-16,655.8,670.01,655.8,654.46,795
2018-08-19,656.61,656.61,637.31,637.31,435
2018-08-20,633.83,652.85,633.83,640.53,390
2018-08-21,648.57,656.61,645.89,648.03,750
2018-08-22,653.93,656.61,648.57,648.57,254
2018-08-23,644.55,656.61,643.21,653.93,210
2018-08-26,653.93,653.93,643.74,653.93,97
2018-08-28,643.21,643.21,635.43,637.85,70
2018-08-29,635.7,643.21,635.43,642.94,170
2018-08-30,645.89,645.89,639.19,643.21,50
2018-09-02,643.21,647.23,636.77,647.23,210
2018-09-03,656.61,659.29,646.42,646.42,315
2018-09-05,656.61,680.73,656.61,670.01,170
2018-09-06,693.86,693.86,664.91,682.07,385
2018-09-09,679.39,679.39,665.99,665.99,70
2018-09-10,656.87,656.87,648.83,649.91,160
2018-09-11,661.97,661.97,656.61,661.97,815
2018-09-12,658.21,665.99,658.21,665.99,75
2018-09-13,670.01,678.85,670.01,671.35,440
2018-09-16,683.41,683.41,672.69,675.37,70
2018-09-17,663.31,664.65,663.31,663.57,105
2018-09-18,651.25,663.84,651.25,658.21,140
2018-09-20,671.08,682.6,664.65,664.65,100
2018-09-23,656.61,657.95,656.61,656.61,115
2018-09-25,656.61,656.87,649.1,656.61,90
2018-09-26,659.29,663.31,652.59,652.59,435
2018-09-27,656.61,661.97,649.91,659.29,701
2018-09-30,671.88,671.88,647.23,648.57,410
2018-10-01,659.82,672.69,644.01,644.01,775
2018-10-02,633.83,675.37,633.83,659.55,105
2018-10-03,659.55,659.55,647.23,647.23,155
2018-10-04,647.23,647.23,645.89,635.17,100
2018-10-07,635.17,640.53,629.81,632.49,160
2018-10-08,621.76,646.15,621.76,646.15,100
2018-10-09,644.55,644.55,638.65,638.65,253
2018-10-10,629.81,645.89,629.81,645.89,316
2018-10-11,645.89,658.48,645.89,658.48,95
2018-10-14,645.89,661.97,645.89,661.97,185
2018-10-23,649.1,655.27,649.1,649.1,194
2018-10-25,649.1,649.1,649.1,649.1,15
2018-10-28,637.85,637.85,637.85,625.52,40
2018-10-30,629.81,632.49,629.81,629.81,110
2018-10-31,618.01,618.28,618.01,606.22,45
2018-11-05,611.04,634.9,611.04,634.9,30
2018-11-15,598.98,622.7,583.31,583.31,290
2018-11-18,583.31,583.31,556.77,556.77,100
2018-11-19,556.77,556.77,556.77,556.77,5
2018-11-20,548.73,552.35,548.73,552.35,30
2018-11-21,552.35,552.35,541.9,541.9,15
2018-11-22,541.9,552.35,541.9,542.7,110
2018-11-25,533.06,533.06,533.06,533.06,5
2018-11-26,533.06,533.06,512.55,512.55,355
2018-11-27,512.55,512.55,504.51,504.51,370
2018-11-28,504.51,512.55,502.5,504.92,125
2018-11-29,504.92,504.92,504.51,504.51,15
2018-12-02,504.51,504.51,492.45,502.5,195
2018-12-03,502.5,522.6,502.5,506.52,265
2018-12-06,483.61,483.61,470.34,482.0,423
2018-12-09,482.0,482.0,472.76,474.36,455
2018-12-10,474.36,502.91,474.36,488.84,285
2018-12-11,488.84,488.84,486.83,486.83,15
2018-12-12,486.83,502.1,486.83,502.1,28
2018-12-13,502.1,506.52,490.44,500.49,370
2018-12-16,500.49,535.07,500.49,528.63,515
2018-12-17,528.63,570.84,518.18,570.84,100
2018-12-18,570.84,570.84,538.68,538.68,130
2018-12-19,538.68,538.68,528.23,528.63,215
2018-12-20,528.63,536.67,523.41,532.65,365
2018-12-23,532.65,564.81,532.65,564.81,118
2018-12-24,564.81,578.48,557.18,574.86,273
2018-12-25,574.86,576.87,572.85,572.85,50
2018-12-26,572.85,594.56,572.85,582.9,707
2018-12-27,582.9,607.02,571.65,582.9,1311
2018-12-30,582.9,626.32,582.9,619.08,1253
2018-12-31,619.08,619.08,595.29,607.83,515
2019-01-01,603.0,627.12,603.0,612.65,195
2019-01-02,612.65,612.65,603.49,603.49,195
2019-01-03,603.49,615.55,603.49,612.65,108
2019-01-06,612.65,622.3,610.24,610.24,165
2019-01-07,610.24,610.24,610.24,610.24,71
2019-01-09,610.24,619.89,610.24,619.89,25
2019-01-10,619.89,631.95,619.89,631.95,110
2019-01-16,631.95,674.88,631.95,674.88,578
2019-01-17,674.88,687.91,674.88,680.19,37
2019-01-20,680.19,689.84,680.19,689.84,10
2019-01-21,689.84,689.84,676.33,676.33,50
2019-01-22,676.33,679.71,653.66,653.66,80
2019-01-23,653.66,653.66,640.63,646.42,60
2019-01-27,654.14,654.14,641.6,641.6,15
2019-01-28,641.6,691.28,641.6,691.28,853
2019-01-29,691.28,723.61,691.28,713.48,580
