MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1769,2239331,895732.57,3961377305.03,1584550922,0.09 %,13190.74
MLBL,Mahalaxmi Bikas Bank Ltd.,409,42964581,21052644.76,17572513685.83,8610531706,0.39 %,60939.54
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,2239,1093750,393750.00,2448906250.00,881606250,0.05 %,7913.44
MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd.,2280,2175625,870250.00,4960425000.00,1984170000,0.11 %,5880.06
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,795,10000000,1509200.00,7950000000.00,1199814000,0.18 %,59803.6
MNBBL,Muktinath Bikas Bank Ltd.,383,70472374,34531463.48,26990919410.43,13225550511,0.60 %,51893.16
MPFL,Multipurpose Finance Company Limited,632.5,6102000,2989980.00,3859515000.00,1891162350,0.09 %,34644.96
MSHL,Mid Solu Hydropower Company Limited,1049,7484000,733432.00,7850716000.00,769370168,0.17 %,11687.76
MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1466,3223785,967135.62,4726069389.07,1417820817,0.10 %,4034.66
NABBC,Narayani Development Bank Limited,1273,2624676,761156.04,3341212548.00,968951639,0.07 %,44603.68
NABIL,Nabil Bank Limited,493,270569972,108227988.66,133390996023.45,53356398409,2.96 %,71171.18
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,1000,4857600,1457280.00,4857600000.00,1457280000,0.11 %,4097.26
NBL,Nepal Bank Limited,254.2,146940229,72000712.35,37352206282.94,18302581079,0.83 %,63837.46
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2473.7,2550000,828750.00,6307935000.00,2050078875,0.14 %,2911.52
NFS,Nepal Finance Ltd.,703,7295020,2918008.00,5128399060.00,2051359624,0.11 %,121824.18
NGPL,Ngadi Group Power Ltd.,286.9,37025584,37025584.45,10622640178.70,10622640179,0.24 %,289629.86
NHDL,Nepal Hydro Developers Ltd.,833,3881967,3881966.63,3233678206.12,3233678206,0.07 %,36106.42
NHPC,National Hydro Power Company Limited,221.7,24671629,4934325.82,5469700175.90,1093940035,0.12 %,142074.3
